"title","category","bluesky","twitter","type","did"
"Simon Håkansson",,"0fflinedocs.bsky.social","0fflinedocs","None","did:plc:wxbu6mbsvq32fjpehnuladrl"
"Reitse Eskens","data","2meterdba.bsky.social","@2meterdba","mvp","did:plc:uvzhf7yu2yv7ujyochhaj2lq"
"Greg Hurlman","businessapps","98.codes","","microsoft","did:plc:jxnyxsrxoqmeduuhehr77mme"
"Aimery Thomas","dev","a1mery.bsky.social","aimery_thomas","mvp","did:plc:72rop3lfkf3izilrojm3mu7g"
"Aaron Powell","dev","aaron-powell.com","slace","microsoft","did:plc:hpxcmmygu3v5lkasag3wk4kz"
"Andre van den Berg - MVP & WIMVP 🇳🇱 🐱‍👤 🇺🇦","windows","aavdberg.bsky.social","aavdberg","mvp","did:plc:wysftjwwfchupb55uaeiih55"
"Abdul Kazi 🍁","azure","abdulkazi.bsky.social","abdulkazi","mvp","did:plc:wldsg3hywgy4sj6upwe6symh"
"Nick Landry","dev","activenick.bsky.social","activenick","microsoft","did:plc:pvwdzhqxytn3xuy4cqdcbhsy"
"Adam Fowler",,"adamfowlerit.com","adamfowler_it","None","did:plc:7g6cex5lekaophtgykurpos2"
"Adam Gell",,"adamgell.bsky.social","adamgell","None","did:plc:fotpikp4szwpfp4bnnfxhxfa"
"Michael Washington","dotnet","adefwebserver.com","","mvp","did:plc:mjp2lenosijv5decc646uqcn"
"Adis Jugo","microsoft365","adisjugo.bsky.social","adisjugo","mvp","did:plc:hbqirqzlkgy6gtfptn33wojy"
"Adrià Ariste","businessapps","adriaariste.bsky.social","","mvp","did:plc:4rxo7324bclct4knwwd325ne"
"Adrian Ritter","microsoft365","adrianritter.bsky.social","adrianritter","mvp","did:plc:v7kx5motqafs7gz35mtimkmf"
"Agnius Bartninkas","businessapps","agniusbartninkas.bsky.social","","mvp","did:plc:gwety6ocnkhyp6ux7jagoexq"
"Håkan Silfvernagel","ai","agrevlis.bsky.social","agrevlis","mvp","did:plc:ods2jnnsjc6xok644d356f5o"
"Bernat Agulló","data","agullobernat.bsky.social","agullobernat","mvp","did:plc:v4p2vq5grcbjvpbajeyqpajy"
"Adrian Amos",,"ahamos.bsky.social","ahamos","None","did:plc:jbuckzlfzonlpjskenreri3p"
"Aidan Finn","azure","aidanfinn.bsky.social","joe_elway","mvp","did:plc:r3mqkhfctud4mwdbktxihnny"
"Andy Jaw","security","ajawzero.com","ajawzero","microsoft","did:plc:mkmbwsyxtdqbh6qvql3uw2y7"
"Anthony J. Fontanez",,"ajf8729.com","ajf8729","None","did:plc:7jtkrch3pryofkfdxlpgnatv"
"Andy Levy",,"alevyinroc.flxsql.com","alevyinroc","None","did:plc:p42kyuu6ybsuf77ad5uqhg2c"
"Aleksandar Nikolić","azure","alexandair.bsky.social","alexandair","mvp","did:plc:qsso3aixn7gug6her5uu3e5o"
"Alex Chrostowski","azure","alexchro.info","","microsoft","did:plc:x5i72rctjofb5c5d4a6jhhsl"
"Alexander Holmeset","microsoft365","alexholmeset.bsky.social","alexholmeset","mvp","did:plc:usp2ucpw7bkhcozyk2vzpnt7"
"Alex Witkowski","dotnet","alexwitkowski.bsky.social","alex_witkowski","mvp","did:plc:uq4uenz6l5o4kaxwl5vnuw6b"
"Alistair Pugin","microsoft365","alistairpugin.bsky.social","alistairpugin","mvp","did:plc:jsxe5ixfd7jok7he63modsdg"
"Hailey Phillips | MVP","intune","allwayshype.com","allwayshype","mvp","did:plc:j25ig3ar6gigewdmk47fzwpd"
"Tobias Almén ","intune","almenscorner.bsky.social","almenscorner?s=21","mvp","did:plc:l2oncfasp5pyqgizod2jm3ya"
"Alpesh Nakar",,"alpeshnakar.com","alpesh","None","did:plc:7xbcqswcuz6ihmyrc7jmtcwf"
"Alta Martes",,"altamartes.bsky.social","altaict","None","did:plc:qodmadhzlgyq3snphjyqhzxg"
"Alvin Ashcraft","dev","alvinashcraft.bsky.social","alvinashcraft","microsoft","did:plc:tdj5ie3dprhi242wsd7ykk7k"
"Amadeo Landero","modernwork","amadeolandero.bsky.social","amadeolandero","microsoft","did:plc:nw62otfu5xcpgbn4lnk4etno"
"Ami Diamond","microsoft365","amidiamond.bsky.social","ami_diamond","mvp","did:plc:hpgt64wkgi6yz6qxt23pvolk"
"Anders Kristiansen","security","anderskristiansen.bsky.social","","mvp","did:plc:yuuhh3yyeyzwzsoxlsep5j6h"
"Anders Uhl","data","andersuhl.bsky.social","","microsoft","did:plc:vid3gf55zondhujmau6wxxzq"
"Andras Gaal","microsoft365","andras.gaal.eu","","microsoft","did:plc:dmkucn7erri4ypuxz2533ckl"
"Andres Bohren",,"andresbohren.bsky.social","andresbohren","None","did:plc:msosg57min33yi5q3q5btngt"
"Andres Gorzelany","microsoft365","andresgorzelany.bsky.social","andresgorzelany","mvp","did:plc:rm3sjzoalfsbjoystepa257m"
"Andrew Connell","microsoft365","andrewconnell.com","andrewconnell","mvp","did:plc:wqrd5dcowa6prnww4jcgyfbb"
"Andrew Johnson",,"andrewjnet.bsky.social","andrewjnet","None","did:plc:3mfptbrrxgifne72kzbqmwxt"
"Andrew Lock","dotnet","andrewlock.bsky.social","andrewlocknet","mvp","did:plc:v7z2lui3kjl2szfdzi5ilsqi"
"Andrew Taylor","intune","andrewstaylor.bsky.social","","mvp","did:plc:4weetj2jgbbwy4w6skoygrpm"
"André Melancia",,"andy.pt","andypt","None","did:plc:dptplopjwi64btl77dzryomz"
"Andy Huneycutt","microsoft365","andyhuneycutt.bsky.social","@andyhuneycutt","mvp","did:plc:fwgej2w73cvh3mm237s5z4mw"
"Andy Syrewicze","security","andysandwich.bsky.social","asyrewicze","mvp","did:plc:sv5rv52gms2fbkoijrts5c2b"
"Angelo Belchior","dotnet","angelobelchior.bsky.social","","mvp","did:plc:i64ikrv2yhrj6x5o7gwaucun"
"Aniruddha Anikhindi","azure","aniglasgow.bsky.social","","microsoft","did:plc:7555nn6w3migqe5i7skwtqap"
"Anthony Chu","azure","anthonychu.ca","nthonychu","microsoft","did:plc:dunwsebpbcxgvkmtwc4nakt6"
"April Dunnam","businessapps","aprildunnam.bsky.social","aprildunnam","microsoft","did:plc:ff2kfhdzlqw4vznzz34j7wrc"
"Austen Puleston",,"apuleston.bsky.social","apuleston","None","did:plc:ypvewxdalevu5s2yh3cbmaob"
"Ardalis","dev","ardalis.com","ardalis","mvp","did:plc:3vo24c2exro34bgvkqcupbot"
"Ariën de Groot","windows","ariendg.adgict.nl","ariendg","None","did:plc:vdfbjk2pvs4kmy2gxtgfeztm"
"Arjen Furster",,"arjenfurster.bsky.social","arjenfurster","None","did:plc:snb6d3v2qelvs6d3zqe2hm5v"
"John Joyner","security","arkswo.bsky.social","john_joyner","mvp","did:plc:7y7z3brepqf3t5joehnjf5cr"
"ArtL","dev","art-l.bsky.social","artlms","microsoft","did:plc:gswvix3objxg4me37oookbmr"
"Toni Pohl","azure","atwork.bsky.social","@atwork","mvp","did:plc:itkyg6qsh32yqdbo37jx7xgn"
"Avalonia UI",,"avaloniaui.net","avaloniaui","None","did:plc:2q27iqrr2hlscur75ffysuoe"
"Marc-André Moreau",,"awakecoding.com","awakecoding","None","did:plc:cror7ofu623g3e6ajhg4arce"
